Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1557.2466976841895
FDW14,OUT017,1458.481203602125
NCN55,OUT010,563.1627155430696
FDQ58,OUT017,2515.28079793432
FDY38,OUT027,6214.064536399888
FDH56,OUT046,1952.341072812055
FDL48,OUT018,690.9890791449898
FDC48,OUT027,2266.5209310397167
FDN33,OUT045,1523.9337156255306
FDA36,OUT017,3058.8353681906465
FDT44,OUT017,1976.2171923147366
FDQ56,OUT045,1434.807805724388
NCC54,OUT019,563.1627155430696
FDU11,OUT049,2023.7743215110509
DRL59,OUT013,728.485020821953
FDM24,OUT049,2506.7659575526955
FDI57,OUT045,3085.230411737808
DRC12,OUT018,3058.8353681906465
NCM42,OUT027,2913.5005169449264
FDA46,OUT010,495.4143060582676
FDA31,OUT013,2858.898446267778
NCJ31,OUT035,3897.902777441384
FDG52,OUT046,690.9890791449898
NCL19,OUT019,271.35777124027413
FDS10,OUT035,3021.5798604414467
FDX22,OUT010,556.3825958032445
NCF19,OUT035,690.9890791449898
NCE06,OUT046,2552.4936981275414
DRC27,OUT046,3919.7207323064736
FDE21,OUT035,1947.3665288943644
NCR42,OUT019,129.23078722085242
FDX51,OUT018,3058.8353681906465
NCR06,OUT018,677.9975821759086
FDU31,OUT027,5543.634257766696
FDU59,OUT017,2562.3287739553093
FDR03,OUT027,5536.948158143039
FDS49,OUT027,2215.9791044161902
FDD48,OUT010,264.4101764244584
NCF18,OUT017,3058.8353681906465
NCD43,OUT027,2606.537676852513
NCD54,OUT018,2110.656090411177
FDY19,OUT010,264.4101764244584
NCY54,OUT017,2858.898446267778
NCL19,OUT018,2481.5542931376135
FDP23,OUT010,549.5882838086214
FDC26,OUT013,1688.1807330894471
FDR14,OUT010,134.51071534443375
NCS41,OUT035,3058.8353681906465
FDF41,OUT035,3930.5161933453915
FDU34,OUT046,2023.7743215110509
DRH11,OUT046,859.723732575677
FDM03,OUT013,1557.2466976841895
FDS31,OUT017,3021.5798604414467
FDJ20,OUT017,2023.7743215110509
FDV44,OUT027,5170.190984640228
FDG02,OUT049,3058.8353681906465
FDA09,OUT013,2944.3919960888115
FDT04,OUT013,677.9975821759086
FDL58,OUT019,586.4419421899868
FDE52,OUT045,1495.1817830103264
FDW12,OUT035,2486.289853490025
FDL51,OUT017,3680.765958917656
NCY42,OUT027,3392.390815710574
FDR07,OUT017,1523.9337156255306
FDN40,OUT045,2511.1447974521
FDB35,OUT027,2535.693851311349
FDA22,OUT017,2562.3287739553093
NCL06,OUT046,4096.354141622126
FDI35,OUT013,3021.5798604414467
NCW42,OUT045,3768.1787571149703
NCX06,OUT049,2975.067814511752
FDC37,OUT027,2613.822490214672
FDZ14,OUT018,2023.7743215110509
DRG49,OUT049,3919.7207323064736
NCG06,OUT045,4050.4457864216924
DRC36,OUT045,2858.898446267778
FDV21,OUT019,265.19799435762764
FDB53,OUT046,2492.311159907936
DRP47,OUT019,632.8932304920769
FDA14,OUT013,2492.311159907936
DRC24,OUT035,2511.1447974521
FDW21,OUT018,1548.0077298981819
NCH29,OUT046,1523.9337156255306
FDU58,OUT013,3058.8353681906465
FDY27,OUT017,2872.3506661030615
FDV56,OUT035,1562.3418881982884
FDT59,OUT046,3829.7095775067214
FDB23,OUT046,3792.8399371307437
FDR49,OUT045,690.9890791449898
FDB03,OUT010,563.1627155430696
FDN39,OUT045,2562.3287739553093
FDX02,OUT027,5793.646387743208
FDQ16,OUT027,2613.822490214672
FDU35,OUT018,1533.6039884853863
NCT29,OUT013,2023.7743215110509
FDZ27,OUT046,690.9890791449898
FDN57,OUT017,2023.7743215110509
FDA03,OUT018,2487.5755995555246
FDZ36,OUT045,3058.8353681906465
NCU05,OUT013,1332.396129823323
FDT39,OUT018,2502.030397200284
FDK60,OUT017,1523.9337156255306
FDZ25,OUT017,2726.9162043200377
FDG12,OUT046,2023.7743215110509
DRB01,OUT019,495.4143060582676
NCC43,OUT027,6294.825478394103
FDX13,OUT019,569.5517942680427
FDM22,OUT049,815.2019339588194
FDJ03,OUT027,1267.4416328347083
FDU14,OUT018,3732.84766104935
FDB33,OUT010,375.96935525630477
FDP27,OUT046,3058.8353681906465
FDO38,OUT010,165.0034888356771
FDE28,OUT027,6214.064536399888
FDO27,OUT035,1523.9337156255306
DRL23,OUT027,2606.537676852513
FDS28,OUT046,852.6260609424897
FDX24,OUT013,1516.5182259487442
FDZ02,OUT035,1523.9337156255306
FDL46,OUT045,1952.341072812055
FDS60,OUT027,4865.826362384745
NCO06,OUT017,677.9975821759086
FDO16,OUT035,1420.485822592522
FDC60,OUT049,1458.481203602125
FDA48,OUT018,3468.2684366482176
FDZ36,OUT027,5174.782972797274
FDK27,OUT045,2023.7743215110509
FDW23,OUT018,677.9975821759086
FDM14,OUT018,1654.555211305687
FDM14,OUT013,1557.2466976841895
FDW60,OUT018,2867.615105750649
FDE21,OUT013,1947.3665288943644
NCM42,OUT035,1562.3418881982884
FDY59,OUT010,250.54373573207928
DRI49,OUT049,1337.7864509072515
FDT28,OUT019,366.5846128213619
FDQ22,OUT018,677.9975821759086
FDR60,OUT049,1247.587718396034
FDC50,OUT019,250.54373573207928
FDV24,OUT013,2506.7659575526955
DRF48,OUT010,480.72170485447464
FDQ47,OUT046,677.9975821759086
DRN36,OUT049,1523.9337156255306
NCY06,OUT035,2023.7743215110509
FDE52,OUT035,1495.1817830103264
NCB54,OUT045,2023.7743215110509
NCF31,OUT035,2511.1447974521
FDJ08,OUT027,5149.485637309615
NCC07,OUT017,1557.2466976841895
NCD19,OUT027,1603.978954421433
FDL46,OUT049,1976.2171923147366
FDM20,OUT045,3919.7207323064736
NCI06,OUT010,435.53970988626344
DRM11,OUT035,4083.0946912142645
NCH07,OUT018,2543.328362316206
FDS23,OUT013,2023.7743215110509
FDO49,OUT018,690.9890791449898
FDS35,OUT049,1046.7263178905885
DRK39,OUT045,1390.488564619635
DRI39,OUT049,859.723732575677
FDV04,OUT017,2548.0639226686176
NCN14,OUT035,3055.4352252705494
FDH08,OUT013,3829.7095775067214
FDS20,OUT046,3058.8353681906465
